Ano_trimestre,salario_esperado_medio_homem_branco.V1,salario_esperado_medio_homem_negro.V1,salario_esperado_medio_mulher_branca.V1,salario_esperado_medio_mulher_negra.V1,probabilidade_emprego_medio_homem_branco.V1,probabilidade_emprego_medio_homem_negro.V1,probabilidade_emprego_medio_mulher_branca.V1,probabilidade_emprego_mulher_negra.V1,massa_salarial_perdida_homem_negro.V1,massa_salarial_perdida_mulher_negra.V1,diff_caracteristica_wg_homem_negro.V1,diff_caracteristica_wg_mulher_negra.V1,diff_caracteristica_emp_homem_negro.V1,diff_caracteristica_emp_mulher_negra.V1,perda_wg_discr_homem_negro.V1,perda_wg_discr_mulher_negra.V1,perda_emp_discr_homem_negro.V1,perda_emp_discr_mulher_negra.V1
2014T3,7.81653859595353,7.32096551421766,7.40226789326442,6.9323490830325,0.947733829139943,0.926998873082077,0.928541375620446,0.89682155155127,-2185864689.75594,-2260591116.91981,-0.39112129448377,-0.370354939004624,-0.0140509736376807,-0.0208500295163883,-0.1044517872521,-0.0995638712272875,-0.0066839824201855,-0.0108697945527878
2014T4,7.82183472773924,7.32786664800922,7.40347553156559,6.94390616952524,0.94724554534367,0.930116887925258,0.934064480695554,0.901432568077435,-1829576458.34468,-2330716885.01822,-0.39328399418071,-0.368002488169537,-0.0136373484384876,-0.0224052144658097,-0.100684085549314,-0.091566873870814,-0.00349130897992495,-0.0102266981523092
2015T1,7.81912565677002,7.32415174615757,7.4129798163209,6.95677708703425,0.937777045449912,0.915647771497895,0.919167255068641,0.877175467081772,-2377414953.09609,-3050826551.16361,-0.387576197277004,-0.369891946735753,-0.0144626283953805,-0.0232541339045247,-0.107397713335449,-0.0863107825508934,-0.00766664555663679,-0.0187376540823437
2015T2,7.81299751718366,7.30647070193279,7.40309393000148,6.94080484233438,0.933374557359558,0.909111037209837,0.917632193101675,0.875894706847272,-2577687610.84756,-2993819235.79483,-0.399042497600424,-0.376801785807325,-0.0173632805417093,-0.0229837721820974,-0.107484317650443,-0.0854873018597726,-0.00690023960801217,-0.0187537140723059
2015T3,7.79653576772972,7.2933671397574,7.3899510273285,6.91945547471881,0.928034581175262,0.902880913405906,0.912990399469049,0.867134350015819,-2637014418.99527,-3258923816.32095,-0.395791084109754,-0.375880246517068,-0.0179658083868915,-0.0228301790818182,-0.10737754386257,-0.0946153060926275,-0.00718785938246479,-0.0230258703714114
2015T4,7.77713641321347,7.27202040891754,7.41519614509205,6.94208856676584,0.929245254137634,0.902922427498412,0.908698204079669,0.866492788878341,-2709957501.25716,-3105290684.82953,-0.395835620597926,-0.380821970095383,-0.0156847682834815,-0.0227205405773353,-0.109280383698007,-0.0922856082308232,-0.0106380583557405,-0.0194848746239932
2016T1,7.77306048163441,7.26411234646517,7.40106926725149,6.91957279724958,0.913160506450596,0.876817705648771,0.888567141482134,0.838905769405536,-3753673101.37411,-3646161830.30919,-0.39717585955246,-0.370004477837721,-0.0179483135765484,-0.0281546715557072,-0.11177227561678,-0.111491992164187,-0.0183944872252764,-0.0215067005208918
2016T2,7.76260757193944,7.25493214871805,7.4036646990101,6.92554916183978,0.908583147455393,0.874867178880964,0.887612798742348,0.834803962564997,-3450392075.21228,-3879754368.18564,-0.392118606983611,-0.370946239881995,-0.0188026546718125,-0.0279999635845936,-0.115556816237776,-0.10716929728833,-0.0149133139026173,-0.0248088725927568
2016T3,7.7718724877647,7.25267306029507,7.42159934927814,6.94667911786661,0.902732580702997,0.867239669494157,0.886476492712121,0.830412432092521,-3699221248.49118,-4223414894.88578,-0.402142718909631,-0.366090420451254,-0.0233969391789732,-0.0298369756552119,-0.117056708560002,-0.10882981096027,-0.0120959720298665,-0.0262270849643877
2016T4,7.77349098792008,7.2528195099731,7.43160648629316,6.9411004605257,0.903443836089184,0.864163360945562,0.889978761825738,0.827624023434765,-4155795094.34466,-4848278789.69057,-0.399860891935352,-0.36890036805441,-0.0255057026560287,-0.0393204399472659,-0.12081058601162,-0.121605657713058,-0.0137747724875936,-0.023034298443707
2017T1,7.79090263341115,7.27669903780461,7.4283357820443,6.94402637232579,0.890868192985216,0.846378302810492,0.871725342534533,0.801461426898342,-4816936408.68202,-5461767378.98892,-0.397734333356653,-0.369601713241693,-0.0268622394075542,-0.0403384468501361,-0.116469262249882,-0.114707696476813,-0.0176276507671701,-0.0299254687860543
2017T2,7.77921674285477,7.26619305723238,7.43007383189302,6.96759669252532,0.89748454609973,0.852629182154135,0.876907171641445,0.816759353838754,-4826984170.56918,-4714335010.00613,-0.395489159162761,-0.354784626755428,-0.028523285357536,-0.0371361854733102,-0.117534526459629,-0.107692512612266,-0.0163320785880597,-0.0230116323293811
2017T3,7.78022716463997,7.27076353941922,7.39385763911163,6.91964204226429,0.90089792074307,0.859379354639246,0.883137334844735,0.82544716109196,-4480733234.23489,-4364134691.4387,-0.399374347615621,-0.362346188716837,-0.0268135712293611,-0.0369902588399691,-0.11008927760513,-0.111869408130508,-0.014704994874463,-0.0206999149128059
2017T4,7.76871725041394,7.27992622415699,7.40583138761722,6.94107951751158,0.903891722182666,0.868066972371203,0.889897448084973,0.835133459547623,-3862104111.39699,-4254679222.19922,-0.388342127238928,-0.358715903437335,-0.0241339588797348,-0.0321176029153647,-0.100448899018028,-0.106035966668311,-0.0116907909317274,-0.0226463856219857
2018T1,7.77312379744622,7.28297106498903,7.40882847174823,6.94879603735333,0.895553376072495,0.852186262149128,0.874367374692246,0.816646825070093,-4735306470.9695,-4524034478.07108,-0.390268326817091,-0.362707878374691,-0.028251327222239,-0.0395802036052741,-0.0998844056400954,-0.0973245560202092,-0.0151157867011277,-0.0181403460168782
2018T2,7.77287254119266,7.28390981370015,7.42540805453071,6.95125772078177,0.900107506352955,0.859256856166545,0.882545678400922,0.826162419087495,-4449646858.60271,-4490706221.08136,-0.391913320203784,-0.357706176285662,-0.0258166901453883,-0.0339826875437058,-0.0970494072887243,-0.116444157463281,-0.0150339600410223,-0.0224005717697211
2018T3,7.76278068072547,7.26046258624667,7.41585690090424,6.9448109635475,0.906003501161741,0.865877139585676,0.888409928110109,0.830270451890679,-4343750171.77445,-4583928719.5232,-0.395520161792066,-0.358194174947886,-0.0246880524445851,-0.0333504119203908,-0.106797932686733,-0.112851762408863,-0.0154383091314806,-0.0247890642990395
2018T4,7.77495747940642,7.27448382319782,7.43275652392593,6.95746392838287,0.908233781656164,0.870915410856717,0.888366372587248,0.832417579577959,-4112914453.10758,-4533034493.02169,-0.392101069454,-0.363738093449254,-0.0262876266028536,-0.0371826982700569,-0.108372586754601,-0.111554502093809,-0.0110307441965934,-0.0187660947392319
2019T1,7.78459681894274,7.27751946837855,7.44305797120468,6.95760168283264,0.899141458744852,0.861429998847015,0.878923202544512,0.814815287379284,-4219234915.80515,-5258116143.45444,-0.401225853702674,-0.368276120509249,-0.0262511806527899,-0.0386214379476126,-0.105851496861516,-0.117180167862784,-0.011460279245047,-0.0254864772176153
2019T2,7.75909748633423,7.25701449938435,7.4227086534393,6.9308920044895,0.905895244041519,0.868670475325178,0.885552169423303,0.824932599876022,-4066332204.38643,-4887602709.54221,-0.393906719392931,-0.369743202870177,-0.02369818672509,-0.0357748595285908,-0.108176267556951,-0.122073446079623,-0.0135265819912509,-0.02484471001869
2019T3,7.77268047599887,7.27246780134482,7.41437600694825,6.9305612028192,0.910578574783798,0.871203670124534,0.886486393938677,0.826027833546052,-4385152498.37473,-4848481096.13646,-0.390348463666527,-0.361452252831353,-0.023651807628616,-0.0357249968928087,-0.109864210987527,-0.122362551297695,-0.0157230970306481,-0.0247335634998155
2019T4,7.77802150530391,7.28175183172148,7.44560237693025,6.96188634127687,0.915072055753663,0.883362812079302,0.894071140526354,0.834881885129407,-3604519428.2525,-4955382464.2952,-0.395263968520492,-0.366009881852686,-0.023163865581877,-0.0349745657806715,-0.101005705061937,-0.117706153800699,-0.00854537809248424,-0.0242146896162756
2020T1,7.7954553135647,7.28988658027275,7.45395716756521,6.96956038562473,0.901932307841414,0.867738712460899,0.881813492228616,0.818168314292661,-3926678526.19449,-5340903302.71845,-0.400377299136139,-0.365132045748396,-0.0302276025233447,-0.0416387809405803,-0.105191434155816,-0.119264736192087,-0.00396599285717104,-0.0220063969953747
2020T2,7.81615993132719,7.33208784185467,7.49597648535334,7.03242325456882,0.887127984327304,0.84333409427325,0.875407262865215,0.801153787693316,-5059305482.63273,-6435511648.16415,-0.383076992329471,-0.344449979887498,-0.0330143381700739,-0.0387074664964907,-0.100995097143052,-0.119103250897019,-0.01077955188398,-0.0355460086754081
2020T3,7.81321029586692,7.32227442139768,7.50701789732219,7.02728131991019,0.879850454052667,0.836364743838444,0.851790588383721,0.784211924547872,-5008557343.74779,-5912373203.78323,-0.386382852196773,-0.35584267496693,-0.0274334698982391,-0.048941853750046,-0.104553022272467,-0.123893902445077,-0.0160522403159839,-0.0186368100858032
2020T4,7.78066100285802,7.3095881671898,7.48264584042407,6.99434232227184,0.887335416316048,0.849515042969062,0.860315781576326,0.796910451315522,-4182929778.03468,-5377588865.05426,-0.381949592914332,-0.36454879197344,-0.0264853214136294,-0.0473238445819833,-0.0891232427538883,-0.123754726178792,-0.0113350519333567,-0.0160814856788212
2021T1,7.77032936629737,7.3010008153598,7.45873939481635,7.00209380076833,0.883255616878109,0.846043763029739,0.854154361370346,0.7765591407471,-4089276612.21752,-6438750229.38703,-0.38095785123626,-0.344890486524634,-0.0268819870319172,-0.055900474388321,-0.0883706997013074,-0.111755107523393,-0.010329866816452,-0.0216947462349255
2021T2,7.76093923428679,7.28621406397485,7.43797145817213,6.9810982910203,0.889348015949651,0.85669621146209,0.853342580875085,0.78736455569722,-3572423951.89466,-5406989423.65186,-0.368241146767735,-0.339999567588159,-0.0277169303305508,-0.053503338241798,-0.106484023544213,-0.116873599563674,-0.00493487415701044,-0.0124746869360672
2021T3,7.72553010784496,7.26934572136436,7.39562847573042,6.95581100158382,0.90257603452236,0.874938068464991,0.871357342063699,0.808769738248247,-2951197550.92712,-4943250522.08338,-0.364804661692295,-0.327092218195986,-0.0232569746770294,-0.0425112488541954,-0.0913797247882996,-0.112725255950615,-0.00438099138033979,-0.0200763549612568
2021T4,7.69833060639869,7.25514787930931,7.36624429778804,6.93935112383843,0.913807813988406,0.888571858259754,0.891719221115106,0.833096007246304,-2636956162.04813,-4514429731.61663,-0.353688153425094,-0.31991547493744,-0.0247822699409998,-0.041261166323221,-0.0894945736642918,-0.106977699012165,-0.000453685787651729,-0.0173620475455811
2022T1,7.715974821957,7.27318227829244,7.39779784286542,6.97164262245447,0.916128808095182,0.88522129730448,0.891723196427224,0.833976125698176,-3295110388.49739,-4622297220.4397,-0.35053495124815,-0.322199674736263,-0.0263317786604395,-0.0398709958829204,-0.0922575924164143,-0.103955545674684,-0.00457573213026349,-0.0178760748461273
2022T2,7.73085229580696,7.27664121508959,7.3881796741144,6.96422871508436,0.929409532571125,0.903340097932965,0.908347240897412,0.857663078588119,-2826012010.97826,-4026660653.26613,-0.349656556890665,-0.326430785290992,-0.0199638637105341,-0.0310002483737473,-0.104554523826703,-0.0975201737390547,-0.00610557092762583,-0.0196839139355461
2022T3,7.76598967218844,7.31363535237042,7.41101673766143,6.9840918756413,0.934681527559701,0.912299954258774,0.917306030643629,0.864257433859322,-2520059453.16571,-4315343410.24082,-0.354523388163701,-0.329237670609477,-0.0206086020189115,-0.0310026166350663,-0.097830931654316,-0.0976871914106476,-0.00177297128201542,-0.022045980149241
2022T4,7.79114787695617,7.33579901317434,7.44142598269962,7.00503973796889,0.940172778760294,0.917997997563726,0.925398088848307,0.877262487489163,-2578951926.88351,-4078209615.9721,-0.352571843564114,-0.331046249498777,-0.0206674899621419,-0.0302483706050096,-0.102777020217718,-0.105339995231953,-0.00150729123442577,-0.0178872307541345
2023T1,7.78565579634016,7.34860025442941,7.4611272584697,7.04708292255403,0.933480546302837,0.907207251907156,0.917865194016378,0.865608683586084,-3042139647.9891,-4542464831.01289,-0.346106743966343,-0.311245559725869,-0.0203433865077452,-0.0330740879931102,-0.0909487979444097,-0.102798776189799,-0.00592990788793625,-0.019182422437184
2023T2,7.79200952149912,7.35336450014202,7.48002100563769,7.05397773682858,0.934851083902215,0.913799278962265,0.930791375002455,0.881945563029717,-2452631660.05058,-4326830164.36782,-0.342329474728135,-0.323192488067558,-0.0193765006934076,-0.0307550252533481,-0.0963155466289638,-0.102850780741554,-0.00167530424654208,-0.0180907867193899
2023T3,7.7970992285282,7.34814734568387,7.48367246309825,7.04727305269422,0.940445619444026,0.918070583494432,0.930309220043872,0.884889694190833,-2623420631.2734,-4052883800.85569,-0.349338976189967,-0.333074567641674,-0.0183834604787935,-0.0308358924444932,-0.0996129066543555,-0.10332484276235,-0.00399157547080078,-0.0145836334085456
2023T4,7.80552047349257,7.36637250937279,7.49058878213863,7.04600304165375,0.942245889620724,0.923631757324466,0.928626357127956,0.886314675573804,-2224433744.06743,-3818670510.22632,-0.348239204525577,-0.33324529890962,-0.0185063765592461,-0.0313013827209965,-0.0909087595942084,-0.111340441575263,-0.000107755737011184,-0.0110102988331558
2024T1,7.82558789080618,7.38101760609421,7.51515428598568,7.07748005924752,0.940362227514389,0.917437456506922,0.922056980868443,0.879481699336298,-2796887361.95428,-3962561475.96829,-0.346778945372826,-0.323428712303302,-0.0171992841421469,-0.0325732711792402,-0.0977913393391441,-0.114245514434866,-0.00572548686532032,-0.0100020103529053
