raca,Ano_trimestre,t10,t5,t1,b10,b5,b1
Mulher Parda,2012T4,7.61604926944554,5.1044984152506,2.77999626760804,24.3893255499662,25.5947064234915,27.2977176777402
Mulher Branca,2013T1,23.6584496108406,24.5894556455684,21.0016517359349,10.9476784924739,11.2064680376416,10.3038364996887
Homem Pardo,2013T1,12.1883966926094,10.7981378359862,9.01479320838777,17.620806964262,16.2332916667101,14.9940093279211
Mulher Preta,2013T1,7.78630668923425,6.37763167591246,3.3796529269376,28.8381601224195,30.5645567583846,34.4667447758538
Homem Preto,2013T1,13.2471688501709,11.5066628203698,9.89927405614102,12.7974206990875,10.9818573377947,10.084078987805
Mulher Parda,2013T1,7.62964653100642,5.40129866499328,2.71921003623215,23.9771513765391,25.5895700519111,23.761229178726
Homem Branco,2013T1,35.4900316261385,41.3268133571699,53.9854180363666,5.81878234521808,5.42425614755779,6.39010123000531
Mulher Preta,2013T2,7.91503306901253,6.67140539436802,3.41516536164297,28.4318880648272,29.7727752229068,30.9505942164249
Homem Pardo,2013T2,12.3283815795983,11.2333466674846,9.1072756195432,17.6454550296218,16.7678220021139,16.7201472087634
Homem Branco,2013T2,35.2285514496247,41.0369213861387,56.1804743670054,5.64881699514349,5.17851941294889,5.23831584810932
Mulher Parda,2013T2,8.03608209844044,5.88287872169406,3.43889715262052,24.4518542053401,25.6191610599318,24.5577688312271
Mulher Branca,2013T2,23.3134295475225,23.6878128349229,21.2007823035551,10.8722628994561,11.0344342233098,10.4229760268711
Homem Preto,2013T2,13.1785222558016,11.4876349953917,6.65740519563285,12.9497228056113,11.6272880787887,12.1101978686041
Homem Pardo,2013T3,12.4056222025983,11.8699465180174,9.63947353527272,18.2001889512147,17.0974436734095,16.1741736951479
Mulher Preta,2013T3,7.64158777241858,6.73866867562811,4.3226248132197,28.722692665943,31.4150701159026,34.2325601264501
Mulher Branca,2013T3,23.0798377462145,24.0799072537433,23.1039147131824,10.779530586039,10.6123836688304,10.0472264032612
Homem Branco,2013T3,35.3175353909811,40.4247279975545,52.8323686829694,5.79131889004992,5.32269558026839,4.62058081857154
Mulher Parda,2013T3,8.52774519441116,6.06825061319086,2.92934087314439,24.1654156066714,23.949886642869,24.1015591514022
Homem Preto,2013T3,13.0276716933764,10.8184989418659,7.1722773822114,12.340853300082,11.6025203187202,10.8238998051671
Homem Pardo,2013T4,12.5299759046159,11.8792925628702,9.34342155933335,18.0668963233673,16.7158354474784,16.7627833535155
Mulher Preta,2013T4,7.28233844430349,6.67352329187825,3.90456704737016,28.733443244602,30.0460255687947,34.0256745943335
Homem Branco,2013T4,36.47156157016,41.6136599626823,54.0498733561994,5.76690171565435,5.20826813051648,5.6856493355781
Mulher Branca,2013T4,23.4098652821761,23.1756146585668,21.2422926493159,10.2816698765426,9.92034798231812,10.4936495496706
Homem Preto,2013T4,12.5791904969353,10.6269150634959,7.74359059615591,13.1287676109668,12.5087755879517,11.7577323962852
Mulher Parda,2013T4,7.72706830180926,6.03099446050649,3.71625479162531,24.0223212288668,25.6007472829407,21.2745107706171
Homem Pardo,2014T1,12.7133837702277,11.9859478217574,10.3204213289857,18.3420086525501,17.7504527112468,15.9362783561306
Mulher Preta,2014T1,7.53026399642826,6.55465295934881,3.78650466207035,28.8601253016655,30.8133282314756,32.7069544727307
Mulher Branca,2014T1,24.053973541435,24.2539490696617,20.205179733031,11.1198434511868,9.73694199257422,10.3891395689215
Homem Preto,2014T1,11.3741233262976,10.2586508107713,8.93522242168117,12.122292593274,12.412479708803,13.4984839047342
Mulher Parda,2014T1,7.00515799064808,4.39455178777412,3.24603955675099,23.8361133871365,24.5609417547763,22.9910540107512
Homem Branco,2014T1,37.3230973749634,42.5522475506866,53.5066322974808,5.71961661418711,4.72585560112405,4.47808968673177
Homem Pardo,2014T2,12.328767367499,11.8995936717021,9.34191775242621,18.0749922470415,17.7910080013379,17.0221728438484
Mulher Preta,2014T2,7.57334949472008,6.66189973682299,3.95283711305833,27.7385109049465,29.6672089423292,31.4221034539701
Homem Branco,2014T2,36.6985791260451,41.1568940764149,53.0999143899586,5.57890119539497,4.94633079781608,5.05291159354322
Homem Preto,2014T2,12.0262229556272,10.7603725251473,9.07868988204143,13.6735161147493,12.4960097778871,10.8847031946224
Mulher Parda,2014T2,7.2189329383417,5.75814338631241,3.88000779294666,24.2278505132124,25.6194924064003,26.7993685910251
Mulher Branca,2014T2,24.1541481177669,23.7630966036004,20.6466330695687,10.7062290246554,9.47995007422943,8.81874032299089
Homem Pardo,2014T3,12.6586167860227,11.9568967222369,11.059624453399,17.4755275786023,17.2927062976183,12.9520827186874
Mulher Branca,2014T3,23.8635584513486,24.405007650918,21.8284093072375,10.7284333631699,9.69145795639967,8.50993473774143
Homem Branco,2014T3,36.075066391964,41.5083929669636,52.7963806320295,6.12370260746312,5.10356942792384,4.47552199647498
Mulher Preta,2014T3,7.2346815039223,6.46877149941157,3.9751463751497,27.6780810409107,30.7087511999941,30.4463846908679
Mulher Parda,2014T3,8.32447642590674,5.4481256986276,3.00828350052629,24.86413973112,24.9592141799148,30.6410895590347
