"gender_race","renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
"mulher_negra",1877.64283391451,1969.12740887109,26337517591.931,27620763030.7273,0.0898365807541179,0.5839269800766,0.42810794061279,0.450405408760162,"2013T1"
"homem_branco",4665.66240098788,4857.01194679862,89350983701.8094,93015473045.3726,0.0347887827073417,0.869965608758647,0.50714602006974,0.516699004592738,"2013T1"
"mulher_negra",1914.21444228179,1897.74495326366,27133336881.8488,26899887491.8902,0.0854730924913461,0.587896475481018,0.429678571365912,0.439008026281044,"2013T2"
"homem_negro",2564.35389661574,2533.83450896381,55520532575.3346,54859760808.0117,0.0500102257238735,0.860758603157225,0.438106817491644,0.445880650324398,"2013T2"
"homem_branco",4736.11955848783,4735.3553859743,91856382112.7,91841561092.7625,0.0332926709115142,0.874447942706616,0.50704150850197,0.513204456282438,"2013T2"
"mulher_branca",3272.5845798718,3259.88936973199,48365259933.6062,48177638460.9329,0.0543950339056348,0.639894841807436,0.485259327873791,0.489364415841919,"2013T2"
"homem_negro",2608.54134940684,2588.82848539788,56667088567.5437,56238852836.8854,0.0452680914138611,0.862341933097505,0.43781673371268,0.446964494845815,"2013T3"
"mulher_negra",1960.72335520214,1951.81859882055,28004549102.6008,27877364568.0395,0.0771083592388439,0.587523978338492,0.435422648917665,0.443340768314556,"2013T3"
"mulher_branca",3335.9123061696,3331.05766867926,50160306355.2705,50087309800.9819,0.0514633436480639,0.637681640464129,0.485381825424156,0.490145622032287,"2013T3"
"homem_branco",4701.29204284746,4678.75392620715,92132249112.3882,91690564707.7811,0.0313788384778499,0.872791745706205,0.498835317243902,0.503894237941495,"2013T3"
"homem_negro",2604.33029305418,2619.69897885546,57898292332.1888,58239961998.9193,0.0414935734168513,0.865413671778468,0.436855298488808,0.446616618864937,"2013T4"
"mulher_negra",1936.2691474923,1956.00697999144,28053978237.1367,28339953316.6324,0.0690032089787286,0.587378277415526,0.429997003505378,0.4399061128006,"2013T4"
"homem_branco",4742.31707286103,4785.63672371181,92334902934.1522,93178354709.9389,0.0308162637358989,0.870943081944789,0.49358671347909,0.500569299870222,"2013T4"
"mulher_branca",3311.97653916761,3342.05213155274,49874233907.4136,50327134799.6093,0.0450249466429071,0.634392233790518,0.47882132491759,0.483393250487097,"2013T4"
"homem_negro",2649.80092116378,2746.9524581911,58270041935.1366,60406437953.2037,0.0474739159675759,0.860792426005135,0.437597946891401,0.456555178066992,"2014T1"
"mulher_negra",1960.65359614213,2042.72627529123,28411968973.7076,29601289931.8624,0.0780573871265579,0.590085283526079,0.422104910336202,0.440644910479023,"2014T1"
"mulher_branca",3364.36434432441,3523.48353935564,50702634307.848,53100639259.5524,0.0496840528962349,0.632580599374216,0.480785607427606,0.493972493873116,"2014T1"
"homem_branco",4809.69644806131,4972.47986696011,93935328005.9184,97114554390.2253,0.0340395334777931,0.868269459269272,0.49925436493686,0.508309176823786,"2014T1"
"homem_negro",2625.0664627601,2626.52657953104,58632497203.5257,58665109822.5597,0.0463035643777183,0.863203814544702,0.437921819875555,0.451297181722111,"2014T2"
"mulher_negra",1958.95435084933,1951.25861496515,28800359585.5959,28687217612.357,0.073726436594043,0.592001821839339,0.430015164347424,0.437491853967003,"2014T2"
"homem_branco",4772.67300415287,4779.01987140613,93467176668.7925,93591472584.7997,0.0330814189682395,0.871362316994736,0.497628670028462,0.504152188150329,"2014T2"
"mulher_branca",3364.09036630784,3368.57379439286,50892881824.9907,50960708354.8565,0.0470547112960122,0.632653391698722,0.48312857095334,0.48731620507624,"2014T2"
"homem_negro",2661.73565757827,2637.2399341973,59971705940.4187,59419791509.991,0.0461251006132974,0.863352499711194,0.439892983398749,0.450798438892889,"2014T3"
"mulher_branca",3390.12051425659,3385.47308314989,50947207695.6827,50877365447.642,0.04967799586623,0.635719052358456,0.486211183303567,0.490669800234173,"2014T3"
"mulher_negra",1958.31912361128,1945.27580869111,29362078956.9113,29166513873.6067,0.0701091005995161,0.591810406676799,0.425295092536544,0.434432985664898,"2014T3"
"homem_branco",4844.59961733888,4834.11199409164,94556607283.0148,94351910476.0439,0.0317656557633813,0.871016120891722,0.504674853803408,0.510841294759302,"2014T3"
"mulher_branca",3405.39371183689,3425.63148312167,52119636948.2728,52429376549.9929,0.0458167373856175,0.640324920713668,0.485975908283763,0.489695401813151,"2014T4"
"homem_branco",4808.51210183146,4833.87407907984,93432620372.561,93925420628.0169,0.0333830891522885,0.87106228625903,0.494057030773547,0.499847863693503,"2014T4"
"homem_negro",2648.08382212661,2647.6661081007,60205587959.4588,60196091009.8839,0.0466617094106565,0.861756331620639,0.4296701620151,0.441431196544727,"2014T4"
"mulher_negra",1984.38961068744,1989.55113722097,29963149535.3336,30041085637.4588,0.0665155667692644,0.592460081353821,0.426908593346525,0.435967110155616,"2014T4"
"mulher_branca",3406.00956351581,3547.38456298758,51462263358.1781,53598334123.5134,0.0562560203342578,0.641555830459985,0.483530553369746,0.494824120014528,"2015T1"
"homem_branco",4789.80247126615,4948.05888920759,92126329145.0588,95170208915.8958,0.0388749131755816,0.870221345699764,0.497529786985069,0.507955580065754,"2015T1"
"mulher_negra",2002.73562585306,2084.09499405202,30035574395.1449,31255743110.744,0.0838483875441412,0.59415232615044,0.427679967961012,0.450122571151951,"2015T1"
"homem_negro",2623.89299063149,2699.41772461341,59547681073.8568,61261669711.5035,0.0533806807570865,0.858033636912615,0.425186485836093,0.447707847648417,"2015T1"
"mulher_negra",1977.89363667197,1971.70744910876,29711383013.6046,29618455777.945,0.0871829936449011,0.599953198482223,0.427690959428219,0.436864308727309,"2015T2"
"homem_negro",2589.9146368942,2570.73793937148,58403362475.5298,57970922116.0877,0.0591901870105551,0.862908970364752,0.428520681500231,0.441538437520649,"2015T2"
"mulher_branca",3354.15279728335,3352.7699216359,51820586140.3237,51799221154.6057,0.0584585982674979,0.648579058513625,0.481995477760393,0.487893970387631,"2015T2"
"homem_branco",4818.8222969704,4813.37664234302,93721591393.0847,93615678498.5221,0.0418594450798805,0.869082204417519,0.503039732009711,0.509759718262103,"2015T2"
"mulher_negra",1946.65557412914,1931.36522938948,29545316679.2144,29313247851.2863,0.092670551355066,0.603608575022294,0.427992423517935,0.439123018539249,"2015T3"
