Ano_trimestre,Decomposição,Perda
2019T1,Empregabilidade - Efeito Composição,-3.98
2019T2,Empregabilidade - Efeito Composição,-3.29
2019T3,Empregabilidade - Efeito Composição,-3.4
2019T4,Empregabilidade - Efeito Composição,-3.33
2020T1,Empregabilidade - Efeito Composição,-3.45
2020T2,Empregabilidade - Efeito Composição,-3.91
2020T3,Empregabilidade - Efeito Composição,-4.69
2020T4,Empregabilidade - Efeito Composição,-4.41
2021T1,Empregabilidade - Efeito Composição,-4.27
2021T2,Empregabilidade - Efeito Composição,-4.04
2021T3,Empregabilidade - Efeito Composição,-3.39
2021T4,Empregabilidade - Efeito Composição,-3.85
2022T1,Empregabilidade - Efeito Composição,-4.08
2022T2,Empregabilidade - Efeito Composição,-4.23
2022T3,Empregabilidade - Efeito Composição,-5
2022T4,Empregabilidade - Efeito Composição,-5.06
2023T1,Empregabilidade - Efeito Composição,-5.03
2023T2,Empregabilidade - Efeito Composição,-5.39
2023T3,Empregabilidade - Efeito Composição,-5.4
2023T4,Empregabilidade - Efeito Composição,-6.23
2024T1,Empregabilidade - Efeito Composição,-5.45
2012T1,Empregabilidade - Efeito Discriminação,1.03
2012T2,Empregabilidade - Efeito Discriminação,0.28
2012T3,Empregabilidade - Efeito Discriminação,-0.25
2012T4,Empregabilidade - Efeito Discriminação,-0.19
2013T1,Empregabilidade - Efeito Discriminação,0.34
2013T2,Empregabilidade - Efeito Discriminação,-0.1
2013T3,Empregabilidade - Efeito Discriminação,0.5
2013T4,Empregabilidade - Efeito Discriminação,0.78
2014T1,Empregabilidade - Efeito Discriminação,0.97
2014T2,Empregabilidade - Efeito Discriminação,0.95
2014T3,Empregabilidade - Efeito Discriminação,0.75
2014T4,Empregabilidade - Efeito Discriminação,0.76
2015T1,Empregabilidade - Efeito Discriminação,0.09
2015T2,Empregabilidade - Efeito Discriminação,0.5
2015T3,Empregabilidade - Efeito Discriminação,0.28
2015T4,Empregabilidade - Efeito Discriminação,0.07
2016T1,Empregabilidade - Efeito Discriminação,-0.42
2016T2,Empregabilidade - Efeito Discriminação,-1.03
2016T3,Empregabilidade - Efeito Discriminação,-0.31
2016T4,Empregabilidade - Efeito Discriminação,-0.69
2017T1,Empregabilidade - Efeito Discriminação,-1.68
2017T2,Empregabilidade - Efeito Discriminação,-1.21
2017T3,Empregabilidade - Efeito Discriminação,-0.96
2017T4,Empregabilidade - Efeito Discriminação,-1.34
2018T1,Empregabilidade - Efeito Discriminação,-1.14
2018T2,Empregabilidade - Efeito Discriminação,-1.27
2018T3,Empregabilidade - Efeito Discriminação,-1.5
2018T4,Empregabilidade - Efeito Discriminação,-0.54
2019T1,Empregabilidade - Efeito Discriminação,-1.16
2019T2,Empregabilidade - Efeito Discriminação,-1.7
2019T3,Empregabilidade - Efeito Discriminação,-1.24
2019T4,Empregabilidade - Efeito Discriminação,-1.57
2020T1,Empregabilidade - Efeito Discriminação,-1.7
2020T2,Empregabilidade - Efeito Discriminação,-3.3
2020T3,Empregabilidade - Efeito Discriminação,-1.33
2020T4,Empregabilidade - Efeito Discriminação,-0.78
2021T1,Empregabilidade - Efeito Discriminação,-0.8
2021T2,Empregabilidade - Efeito Discriminação,-0.59
2021T3,Empregabilidade - Efeito Discriminação,-0.83
2021T4,Empregabilidade - Efeito Discriminação,-0.5
2022T1,Empregabilidade - Efeito Discriminação,-0.7
2022T2,Empregabilidade - Efeito Discriminação,-0.06
2022T3,Empregabilidade - Efeito Discriminação,0.42
2022T4,Empregabilidade - Efeito Discriminação,0.18
2023T1,Empregabilidade - Efeito Discriminação,-0.29
2023T2,Empregabilidade - Efeito Discriminação,0.01
2023T3,Empregabilidade - Efeito Discriminação,0.42
2023T4,Empregabilidade - Efeito Discriminação,1.18
2024T1,Empregabilidade - Efeito Discriminação,-0.26
