"renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre","gender_race"
3236.93442955193,3349.57596591564,233171847972.239,241285955861.657,0.0569364980504263,0.736167734253768,0.488551263242698,0.503191778163455,"2015T1","Brasil"
3224.15361099941,3215.1479747061,233656923022.543,233004277547.16,0.0606735231138322,0.740561224050384,0.492018205666682,0.500409537322412,"2015T2","Brasil"
3181.95034090002,3162.17386693084,231399553889.299,229961358203.103,0.0653782941330825,0.743188759087812,0.491070319665596,0.501683723585302,"2015T3","Brasil"
3125.21800847676,3249.59515865472,228421564164.967,237512265393.8,0.0659006069605386,0.742267712784165,0.489520820672624,0.504295674636523,"2015T4","Brasil"
3118.03667690814,3451.37737457737,225864860296.758,250011449292.286,0.0780127268836494,0.74148543485957,0.489091609320894,0.51427204540596,"2016T1","Brasil"
3075.17938622687,3097.40196035956,222936077179.547,224547109538.883,0.0821159353308746,0.742870193876039,0.484250249086472,0.49731397972937,"2016T2","Brasil"
3095.68290336795,3116.79128465485,223661587716.944,225186658022.959,0.0866437671650987,0.740950310156671,0.484965844701946,0.497838783729094,"2016T3","Brasil"
3131.99874450593,3235.1690859849,226830762543.044,234302734640.911,0.0892141749621556,0.742731663069774,0.490240625320439,0.505965736276266,"2016T4","Brasil"
3163.82138124715,3489.53826597629,226295922745.315,249593193387.837,0.102283651354568,0.74180715323073,0.488460456319444,0.519608691080066,"2017T1","Brasil"
3130.4039125761,3138.41373373314,226868354026.679,227448846190.852,0.0968692756361664,0.744338506410998,0.487909222803864,0.50534935579708,"2017T2","Brasil"
3139.96674094187,3167.90378824129,230097018410.277,232144247510.816,0.0918707729704792,0.745945976312806,0.489870217676071,0.507541530205344,"2017T3","Brasil"
3177.56121868028,3285.68198760478,234935745319.79,242929748167.79,0.0875098059494368,0.746369566815535,0.496008005186013,0.512953230885614,"2017T4","Brasil"
3191.47556930172,3511.00500712131,233442946807.475,256815174460.987,0.0969827526777078,0.74363272108702,0.493845885022893,0.524202920780226,"2018T1","Brasil"
3195.95926717766,3211.16993610804,234741944134.247,235859161751.184,0.0929484423138416,0.742957663795607,0.496612758859555,0.513562043863203,"2018T2","Brasil"
3184.58767778598,3212.74844733236,237368411648.142,239467420315.619,0.0881134787056643,0.747846505680073,0.499287925289536,0.517113277743192,"2018T3","Brasil"
3218.73722492824,3322.73529991215,241482352972.834,249284698457.039,0.0861475891243094,0.748152844497712,0.500006452453817,0.517423139386665,"2018T4","Brasil"
3233.03227141021,3570.53677593049,240449018439.471,265550106216.552,0.0947870947616887,0.746115794642242,0.498010671002703,0.530805209022219,"2019T1","Brasil"
3196.31050393228,3208.05877730803,241108192591.206,241994403413.405,0.0895716689469077,0.750668345377356,0.499672510311939,0.515898094959994,"2019T2","Brasil"
3214.75848759661,3238.82007137062,244415903249.69,246245289113.179,0.0876745908758062,0.751525626151641,0.502262019406771,0.519600661678851,"2019T3","Brasil"
3230.02375397729,3361.3330025608,247728992558.637,257799849723.44,0.0822884391178404,0.751004441505166,0.50078045824921,0.517705494952679,"2019T4","Brasil"
3258.27110323407,3588.68475473682,245480881868.595,270374523920.605,0.0911647142702314,0.742393451668128,0.498688663599751,0.530007867546374,"2020T1","Brasil"
3361.49679591547,3120.35309565639,231706570898.397,215084636304.06,0.10521478068686,0.687595179400538,0.493242037886375,0.535662857477291,"2020T2","Brasil"
3401.19527123682,3242.81604245732,232827642443.235,221985847277.708,0.117429173992024,0.691793642649576,0.505118234210386,0.531873349711532,"2020T3","Brasil"
3271.98206463722,3292.93354385294,233382104113.86,234876519488.721,0.110708712876399,0.713081242450669,0.498798249267566,0.518922962732177,"2020T4","Brasil"
3241.78410010038,3447.89152663055,231369248682.08,246079333916.505,0.11768514150033,0.717195644920014,0.500072669081419,0.531231698385454,"2021T1","Brasil"
3144.71027550657,3150.62264687249,228782352858.829,229212486675.164,0.112286063456221,0.724635211653622,0.496488371067244,0.519002401557373,"2021T2","Brasil"
3042.43292076092,3063.67733358819,228960546978.497,230559311029.457,0.097297612923353,0.734898292581564,0.494818378130731,0.514671997916594,"2021T3","Brasil"
2943.82022907439,3036.13735704583,227093949606.768,234215532983.474,0.0850984293293078,0.741316973405143,0.488026557559351,0.506283218539465,"2021T4","Brasil"
2980.92263697313,3270.65686957562,229133100425.534,251403957841.355,0.0853755875660855,0.735962121733947,0.479700115512969,0.513376845265157,"2022T1","Brasil"
3028.29226411937,3067.9396443289,239537644632.553,242673748826.909,0.0701009250670194,0.741969302655846,0.487778869221074,0.506491273397842,"2022T2","Brasil"
3132.89694309757,3153.33539216883,250332945800.082,251966072346.062,0.0660042688345963,0.744196794389912,0.491284303232533,0.510187739560934,"2022T3","Brasil"
3192.02486675638,3324.28719396328,255854751659.885,266456155563.065,0.0611664711227989,0.73992007703274,0.490822485240642,0.507678123929509,"2022T4","Brasil"
3209.43542918674,3513.67142137946,254274588895.693,278378355289.797,0.0681571750261565,0.73418925168583,0.489584968454437,0.5194258307165,"2023T1","Brasil"
3207.82971826988,3236.23865388224,256584523029.175,258856867210.149,0.0625537562086971,0.735615403631693,0.487261794594815,0.503867320770951,"2023T2","Brasil"
3255.56921749793,3297.78825889249,263301606519.132,266716168054.22,0.0594318339039237,0.739065474935501,0.489415525858931,0.505491503674421,"2023T3","Brasil"
3282.16838893341,3398.79329756025,268970998312.627,278528313594.575,0.0577017658134752,0.74481137697926,0.491498038078134,0.505930415147304,"2023T4","Brasil"
3332.85121495578,3649.74174265524,271352017328.871,297152414171.608,0.060894006255132,0.740846159715074,0.48788461064396,0.516964096183074,"2024T1","Brasil"
