Ano_trimestre,hiato_renda_mb,hiato_renda_mn,hiato_renda_hn,hiato_empregabilidade_mb,hiato_empregabilidade_mn,hiato_empregabilidade_hn
2016T3,0.729917716132723,0.602963463272441,-0.136302155562451,-0.0696494508780239,-0.0956621589828678,-0.0120956802673105
2016T4,0.379878690947127,0.2389695224069,-0.141664835924563,-0.0984923604143535,-0.121310831185591,-0.0137750707744711
2017T1,-0.664675229973932,-0.800512732289878,-0.139059557382343,-0.0949101034438349,-0.124715570755343,-0.0176262246519342
2017T2,0.467208355821981,0.341425475371402,-0.139526621415748,-0.0634353341156375,-0.0863421017897873,-0.0163316976946035
2017T3,-0.467123584552066,-0.596361985602597,-0.129668898270167,-0.0730220607993175,-0.0937942815586771,-0.0147063477487468
2017T4,-0.179414439911895,-0.303541110284891,-0.120420371731788,-0.0687131825175535,-0.0910662839747962,-0.0116903203982053
2018T1,-0.0482198609331732,-0.164309072177357,-0.11992259749462,-0.0744775946952392,-0.092284424770691,-0.0151149613125748
2018T2,-0.0588831557605616,-0.192117284319621,-0.117854117620024,-0.0390916998977409,-0.0610281151249246,-0.0150338119196686
2018T3,0.216743318929591,0.0854500397661975,-0.128577077988667,-0.0715434567346978,-0.0958972647556352,-0.0154380917432347
2018T4,0.0535566007548063,-0.0761208707334343,-0.13225324754494,-0.0696182066010811,-0.0879142224394688,-0.0110307858026582
2019T1,-0.336262675209035,-0.471520473766379,-0.130715335893781,-0.0863537307102986,-0.111296300693354,-0.0114606581858307
2019T2,0.217288861913929,0.0747086947578516,-0.130787261043035,-0.0871327115217273,-0.111540965918321,-0.0135274108217668
2019T3,-0.506826537680595,-0.645463434376729,-0.133143369692359,-0.102511150366776,-0.126768219169097,-0.0157230541677225
2019T4,0.169536044969941,0.0300335472994607,-0.125038755981736,-0.0758607633422324,-0.0995972983830678,-0.00854667417846122
2020T1,0.0822425086456846,-0.0584126913241694,-0.128772830242202,-0.0878168062289231,-0.109360105848042,-0.00396569570889236
2020T2,-0.24589208484063,-0.387330248563238,-0.126348212938881,-0.100629253115455,-0.135537638447371,-0.010781097540329
2020T3,0.0964688583225985,-0.0550245178946423,-0.129692287334815,-0.132996164001397,-0.150969467969149,-0.0160538813173729
2020T4,0.149810785717506,-0.000899526871520007,-0.115237899454461,-0.0996856977239076,-0.115170881520338,-0.0113350519333578
2021T1,-0.225725052933024,-0.363218274853403,-0.116821884063337,-0.12624673671365,-0.14733282923989,-0.0103294164400464
2021T2,-0.683540899127131,-0.821825332729382,-0.124898994825828,-0.129241186382928,-0.141575155760809,-0.00493448933059462
2021T3,-0.013458201137361,-0.144428464276154,-0.112293880864445,-0.110035220029106,-0.129794063437954,-0.00438073268209569
2021T4,0.213934957780159,0.0867930198162006,-0.108401283411756,-0.0650372433492541,-0.0817787920795845,-0.000453090327349162
2022T1,0.875109651161417,0.753931784382396,-0.11305033106495,-0.0629473051194311,-0.0804317670855799,-0.004575880505618
2022T2,0.420709020921347,0.305290303331558,-0.126756196751141,-0.0369834353599943,-0.0562314681078938,-0.00610496340291453
2022T3,-0.532363183492691,-0.649791240222046,-0.121002524050351,-0.074172321993951,-0.0956721011123772,-0.00177256722679743
2022T4,-0.944911825651891,-1.07011687140954,-0.125800946470817,-0.0648344308941369,-0.0822694403745069,-0.00150722289192635
2023T1,-0.605967700993507,-0.727901959743378,-0.116453219219942,-0.0878561891130707,-0.106672483318439,-0.00593043719534798
2023T2,-0.336608302168827,-0.458643803252207,-0.120481245433211,-0.0345327866236342,-0.0520611192162261,-0.00167541517776776
2023T3,-0.333726645860221,-0.456868125341073,-0.122274605082936,-0.0474769699174007,-0.0616339213221241,-0.00399135072152883
2023T4,-0.584284807410828,-0.715690110047131,-0.113867893196516,-0.0593686548887202,-0.0699284133575803,-0.000107755737012325
2024T1,0.0432068590154273,-0.091251951461292,-0.124383322726315,-0.0644431014691163,-0.0739863739838913,-0.00572548686532048
