"","gender_race","renda_media_hab","renda_media_efe","massa_hab","massa_efe","tx_desocup","pea_fac","gini_hab","gini_efe","Ano_trimestre"
"74","Homem Negro",2512.5597085061,2509.60407330835,56701381754.5031,56634681409.39,0.0878501826016906,0.85799930746662,0.430876784455904,0.448962240719993,"2016T3"
"75","Homem Branco",4588.16145734561,4635.84266522318,88075084329.716,88990380455.147,0.0617243363722454,0.873403975890212,0.491016921851951,0.502953167272608,"2016T3"
"76","Mulher Branca",3401.86822909049,3428.00013798834,51671158341.8053,52068077302.654,0.0787672119769905,0.652860928617788,0.478669229082698,0.486507565272404,"2016T3"
"77","Mulher Branca",3497.82730168156,3661.73373174679,52375386304.5862,54829670593.6777,0.0807301578936241,0.657751258630527,0.485947097033204,0.500988582062746,"2016T4"
"78","Mulher Negra",1962.75976293151,2028.81651322134,30593748932.2061,31623382650.9176,0.124552576988553,0.601625306101252,0.41765075958574,0.437149648540071,"2016T4"
"79","Homem Negro",2510.17079991239,2566.69576771243,57251470501.6456,58540680593.1355,0.0910693243932099,0.85675137312632,0.427493171520837,0.447921983361084,"2016T4"
"80","Homem Branco",4681.35338537584,4827.45735942209,89203403074.7277,91987420988.9448,0.0619636314126394,0.877294728628967,0.502778340467557,0.516249213518677,"2016T4"
"81","Mulher Branca",3505.71146530236,3882.56601386717,52434084152.9469,58070607097.9873,0.0919953562955465,0.662549932044439,0.483825924863595,0.505724352575271,"2017T1"
"82","Mulher Negra",2013.58973826919,2254.54121469928,30809776907.9007,34496556341.3425,0.142326110809424,0.60078575615112,0.417252242685208,0.463184442246529,"2017T1"
"83","Homem Negro",2545.27753055691,2769.49017456356,57012031412.633,62034202138.5184,0.106093012819079,0.851439743288964,0.428383344575195,0.470993117132821,"2017T1"
"84","Homem Branco",4696.8447660015,5185.41397886767,88626245652.1936,97845212263.7807,0.0698226861322806,0.875900445061034,0.501305512018007,0.530175543058249,"2017T1"
"85","Homem Negro",2554.8794226238,2534.7369400663,58024763509.0629,57567300516.2754,0.101367440265824,0.852237548916276,0.43237609440439,0.454424569856201,"2017T2"
"86","Mulher Negra",2020.96762854862,2005.08032613361,31833835666.8097,31583582388.566,0.132407833443227,0.608812634565712,0.422391166823218,0.438799714274865,"2017T2"
"87","Mulher Branca",3421.8363010589,3456.57488614474,51510448274.4948,52033383895.2432,0.0896670171460466,0.664230246874801,0.47931734265876,0.494292755590322,"2017T2"
"88","Homem Branco",4647.33337305619,4688.001792232,88094702131.7611,88865611379.2521,0.0643957112390514,0.874228446589158,0.50172823624689,0.518119061467587,"2017T2"
"89","Homem Negro",2552.6950681555,2542.8884452727,58359569731.1663,58135371275.5437,0.0945478941534463,0.850181767823953,0.430605322102565,0.454373444572411,"2017T3"
"90","Mulher Negra",2013.65944531623,2025.91456456848,32280169948.2692,32476626868.0919,0.12628142764208,0.612911009542159,0.426516282659577,0.444663841579313,"2017T3"
"91","Mulher Branca",3418.36141902079,3484.61264143018,51964135091.1229,52971251381.4242,0.0853889922453875,0.665114676968696,0.477769618862112,0.493192055589134,"2017T3"
"92","Homem Branco",4697.23707777561,4754.08486103443,90121486162.3652,91212171309.2916,0.0621289382753207,0.87794602267075,0.505171513377718,0.520861294396127,"2017T3"
"93","Mulher Negra",2046.64450865057,2113.23090225496,33771855567.0849,34870603326.1782,0.119547713304056,0.614974832202055,0.434548996576268,0.454907721159543,"2017T4"
"94","Homem Branco",4748.10698513069,4899.27671148993,90242370035.6297,93115497036.9834,0.0618708179946353,0.878347016793317,0.512708648547232,0.525948076414352,"2017T4"
"95","Homem Negro",2647.51291513021,2722.53796387908,61684727544.3921,63432745340.5021,0.0881612871139921,0.848710378668829,0.444428511602382,0.469396098245852,"2017T4"
"96","Mulher Branca",3431.98547039619,3588.23382353062,51924882052.4636,54288871462.4946,0.0807333269558119,0.666849727338711,0.481506361154061,0.496130611926674,"2017T4"
"97","Mulher Branca",3464.18579012421,3866.33543043083,51927950902.6809,57956151479.2512,0.0920056774112477,0.667037033539582,0.482340890200248,0.508906272556487,"2018T1"
"98","Mulher Negra",2067.32779144765,2292.55353736136,33413194568.3482,37053406682.3384,0.132132019775595,0.609262487267786,0.433679910578576,0.475254062185741,"2018T1"
"99","Homem Negro",2653.24404517471,2877.03373384069,61634634745.1628,66833250283.6566,0.0986607094987376,0.847993042740586,0.4412222000974,0.481844828749672,"2018T1"
"100","Homem Branco",4750.57027192286,5218.0633092445,89136892836.5804,97908655884.8764,0.0654456249067376,0.874166652849152,0.510098930782988,0.534473568980502,"2018T1"
"101","Mulher Branca",3480.48699512377,3483.68222654179,52535425678.3293,52583655378.0586,0.0873768107328532,0.667875936485,0.485391190986775,0.494038222303061,"2018T2"
"102","Homem Branco",4779.69998764446,4847.78175508983,90074915544.254,91357937380.059,0.0620061931768147,0.872413704524484,0.514413834351217,0.531051165831741,"2018T2"
"103","Mulher Negra",2049.10925771385,2058.95922539205,33538101571.3046,33699317580.2714,0.126759283353408,0.611151287418319,0.434225857061392,0.455547867027235,"2018T2"
"104","Homem Negro",2647.67333604085,2631.98460586495,61274737293.9451,60911655184.4877,0.0954989915605407,0.844196749190785,0.440689285675035,0.462806652081781,"2018T2"
"105","Mulher Negra",2056.6215888518,2069.09321795749,34138293994.9099,34345313187.6059,0.123026451112505,0.617447020626069,0.44055928085254,0.459083682604614,"2018T3"
"106","Homem Negro",2595.12603719923,2599.97898903465,61118165394.6774,61232457921.7755,0.0902097562502575,0.850211270961388,0.43788718932592,0.462667851397782,"2018T3"
"107","Homem Branco",4770.94500599129,4827.68137266512,90711533353.8134,91790280396.8927,0.0574685742873442,0.874487287038144,0.514746613696843,0.531685445806943,"2018T3"
"108","Mulher Branca",3519.84722976507,3566.72195932109,54110439623.9688,54831042553.0058,0.0814286663410182,0.6719101590706,0.495812387768638,0.508708206979463,"2018T3"
"109","Mulher Negra",2096.15077523784,2169.29149503092,35494012744.3717,36732500772.5879,0.121167527329625,0.620230534948655,0.445562102488111,0.467016879856601,"2018T4"
"110","Homem Negro",2653.66928598309,2726.6519516208,63393346104.4911,65136824618.1242,0.0850066008940694,0.8501892474462,0.443234808561101,0.467879870842808,"2018T4"
"111","Homem Branco",4823.33101649018,4972.6580318517,91115954762.7922,93936842139.1771,0.0569854403907723,0.870850459448094,0.514760496701456,0.530956912485635,"2018T4"
"112","Mulher Branca",3542.15515001497,3678.46712640363,54235294630.226,56322419526.7841,0.0815430392807782,0.673757035096286,0.493213036118505,0.505557674448937,"2018T4"
"113","Mulher Negra",2091.18362557591,2328.93125236796,34658571283.322,38598920169.8736,0.13762765903316,0.61849139204973,0.43534471735984,0.481444882063442,"2019T1"
"114","Homem Negro",2671.95511252167,2907.32122275874,63283422193.5536,68857906904.9116,0.0919139438523849,0.8457260509094,0.446521525655044,0.486827650855048,"2019T1"
"115","Mulher Branca",3642.63148888224,4099.83086124759,55572503274.7222,62547601825.1853,0.0887282519814956,0.672554801503276,0.499185687827776,0.52837153755263,"2019T1"
"116","Homem Branco",4755.18733917902,5226.81924487118,89675619953.3062,98569882264.3271,0.0615463626518607,0.87056644835941,0.507742985842924,0.536585383479178,"2019T1"
"117","Mulher Negra",2045.6523198762,2043.88548231276,34901224103.6737,34871079785.8161,0.128087178221043,0.625444581461451,0.43327848228364,0.449571465767804,"2019T2"
"118","Homem Negro",2662.23330904196,2651.17077885018,63718430632.2125,63453657796.4707,0.0871277085272587,0.847284286131875,0.45020298502277,0.470815202619633,"2019T2"
"119","Homem Branco",4704.03538038905,4724.67703172986,89362663619.054,89754793523.7314,0.0583167769178096,0.872750995484735,0.508355827193554,0.522586794520976,"2019T2"
"120","Mulher Branca",3618.6556647464,3670.32185015941,55875253058.5256,56673024787.0284,0.0849897832279919,0.679998358678621,0.502871074564609,0.518641505140295,"2019T2"
"121","Mulher Negra",2061.8200871854,2077.40940949831,35434099365.7304,35702014883.3419,0.126194200538113,0.625610041999775,0.438506794369459,0.458859012507673,"2019T3"
"122","Homem Negro",2623.09303596227,2633.72730457266,63739014341.8273,63997418367.2202,0.085594484789828,0.852196576657688,0.440425603144831,0.465654822921351,"2019T3"
"123","Homem Branco",4840.99960463445,4879.02319359763,92104564692.1253,92827999188.202,0.0552868030434189,0.870779997455257,0.519728455051336,0.535248601086096,"2019T3"
"124","Mulher Branca",3603.54498870625,3642.13038559269,55921125158.6577,56519907417.6125,0.083637675481884,0.679284714105556,0.500805683996987,0.512854596313446,"2019T3"
"125","Mulher Negra",2068.45206012577,2161.08215399943,36135905649.2975,37754155545.9379,0.12065917909963,0.623259237808778,0.434261898544719,0.457393717033483,"2019T4"
"126","Homem Negro",2676.16181242303,2778.44692347545,66297329272.1662,68831267861.2317,0.0790816541886804,0.849324168716711,0.446452528565715,0.470365309447516,"2019T4"
"127","Mulher Branca",3653.22716859409,3815.9043503431,56972850703.3645,59509835774.6207,0.0763017499647684,0.683428611869,0.501160706974588,0.513686817562302,"2019T4"
