Ano_trimestre,Decomposição,Perda
2019T4,Salários - Efeito Discriminação,0
2020T1,Salários - Efeito Discriminação,0
2020T2,Salários - Efeito Discriminação,0
2020T3,Salários - Efeito Discriminação,0
2020T4,Salários - Efeito Discriminação,0
2021T1,Salários - Efeito Discriminação,0
2021T2,Salários - Efeito Discriminação,0
2021T3,Salários - Efeito Discriminação,0
2021T4,Salários - Efeito Discriminação,0
2022T1,Salários - Efeito Discriminação,0
2022T2,Salários - Efeito Discriminação,0
2022T3,Salários - Efeito Discriminação,0
2022T4,Salários - Efeito Discriminação,0
2023T1,Salários - Efeito Discriminação,0
2023T2,Salários - Efeito Discriminação,0
2023T3,Salários - Efeito Discriminação,0
2023T4,Salários - Efeito Discriminação,0
2024T1,Salários - Efeito Discriminação,0
2024T2,Salários - Efeito Discriminação,0
2012T1,Empregabilidade - Efeito Discriminação,0
2012T2,Empregabilidade - Efeito Discriminação,0
2012T3,Empregabilidade - Efeito Discriminação,0
2012T4,Empregabilidade - Efeito Discriminação,0
2013T1,Empregabilidade - Efeito Discriminação,0
2013T2,Empregabilidade - Efeito Discriminação,0
2013T3,Empregabilidade - Efeito Discriminação,0
2013T4,Empregabilidade - Efeito Discriminação,0
2014T1,Empregabilidade - Efeito Discriminação,0
2014T2,Empregabilidade - Efeito Discriminação,0
2014T3,Empregabilidade - Efeito Discriminação,0
2014T4,Empregabilidade - Efeito Discriminação,0
2015T1,Empregabilidade - Efeito Discriminação,0
2015T2,Empregabilidade - Efeito Discriminação,0
2015T3,Empregabilidade - Efeito Discriminação,0
2015T4,Empregabilidade - Efeito Discriminação,0
2016T1,Empregabilidade - Efeito Discriminação,0
2016T2,Empregabilidade - Efeito Discriminação,0
2016T3,Empregabilidade - Efeito Discriminação,0
2016T4,Empregabilidade - Efeito Discriminação,0
2017T1,Empregabilidade - Efeito Discriminação,0
2017T2,Empregabilidade - Efeito Discriminação,0
2017T3,Empregabilidade - Efeito Discriminação,0
2017T4,Empregabilidade - Efeito Discriminação,0
2018T1,Empregabilidade - Efeito Discriminação,0
2018T2,Empregabilidade - Efeito Discriminação,0
2018T3,Empregabilidade - Efeito Discriminação,0
2018T4,Empregabilidade - Efeito Discriminação,0
2019T1,Empregabilidade - Efeito Discriminação,0
2019T2,Empregabilidade - Efeito Discriminação,0
2019T3,Empregabilidade - Efeito Discriminação,0
2019T4,Empregabilidade - Efeito Discriminação,0
2020T1,Empregabilidade - Efeito Discriminação,0
2020T2,Empregabilidade - Efeito Discriminação,0
2020T3,Empregabilidade - Efeito Discriminação,0
2020T4,Empregabilidade - Efeito Discriminação,0
2021T1,Empregabilidade - Efeito Discriminação,0
2021T2,Empregabilidade - Efeito Discriminação,0
2021T3,Empregabilidade - Efeito Discriminação,0
2021T4,Empregabilidade - Efeito Discriminação,0
2022T1,Empregabilidade - Efeito Discriminação,0
2022T2,Empregabilidade - Efeito Discriminação,0
2022T3,Empregabilidade - Efeito Discriminação,0
2022T4,Empregabilidade - Efeito Discriminação,0
2023T1,Empregabilidade - Efeito Discriminação,0
2023T2,Empregabilidade - Efeito Discriminação,0
2023T3,Empregabilidade - Efeito Discriminação,0
2023T4,Empregabilidade - Efeito Discriminação,0
2024T1,Empregabilidade - Efeito Discriminação,0
2024T2,Empregabilidade - Efeito Discriminação,0
